"DateTime";"Gesamte Anlage";"DC Kopplung";"wr1"
"2020-11-25 07:35:00";6;6
"2020-11-25 07:40:00";6;6
"2020-11-25 08:01:00";92;39;53
"2020-11-25 08:06:00";91;31;60
"2020-11-25 08:50:00";219;87;132
"2020-11-25 08:55:00";229;90;139
"2020-11-25 09:00:00";227;82;145
"2020-11-25 09:05:00";239;89;150
"2020-11-25 09:10:00";269;113;156
"2020-11-25 09:15:00";281;120;161
"2020-11-25 09:20:00";285;117;168
"2020-11-25 09:25:00";298;127;171
"2020-11-25 09:30:00";302;126;176
"2020-11-25 09:35:00";313;134;179
"2020-11-25 09:40:00";316;133;183
"2020-11-25 09:45:00";329;142;187
"2020-11-25 09:50:00";331;140;191
"2020-11-25 09:55:00";345;150;195
"2020-11-25 10:00:00";354;148;206
"2020-11-25 10:05:00";372;159;213
"2020-11-25 10:10:00";376;161;215
"2020-11-25 10:15:00";383;166;217
"2020-11-25 10:20:00";537;318;219
"2020-11-25 10:25:00";832;609;223
"2020-11-25 10:30:00";931;643;288
"2020-11-25 10:35:00";1471;599;872
"2020-11-25 10:40:00";1635;588;1047
"2020-11-25 10:45:00";1793;639;1154
"2020-11-25 10:50:00";1873;642;1231
"2020-11-25 10:55:00";1611;279;1332
"2020-11-25 11:00:00";2053;600;1453
"2020-11-25 11:05:00";2098;632;1466
"2020-11-25 11:10:00";2209;628;1581
"2020-11-25 11:15:00";2213;623;1590
"2020-11-25 11:20:00";2189;618;1571
"2020-11-25 11:25:00";2171;615;1556
"2020-11-25 11:30:00";2154;613;1541
"2020-11-25 11:35:00";2156;621;1535
"2020-11-25 11:40:00";2166;633;1533
"2020-11-25 11:45:00";2162;640;1522
"2020-11-25 11:50:00";2166;651;1515
"2020-11-25 11:55:00";2173;665;1508
"2020-11-25 12:00:00";2181;679;1502
"2020-11-25 12:05:00";2187;694;1493
"2020-11-25 12:10:00";2198;711;1487
"2020-11-25 12:15:00";2211;729;1482
"2020-11-25 12:20:00";2219;745;1474
"2020-11-25 12:25:00";2230;762;1468
"2020-11-25 12:30:00";2240;779;1461
"2020-11-25 12:35:00";2249;797;1452
"2020-11-25 12:40:00";2258;814;1444
"2020-11-25 12:45:00";2265;829;1436
"2020-11-25 12:50:00";2272;845;1427
"2020-11-25 12:55:00";2279;862;1417
"2020-11-25 13:00:00";2280;876;1404
"2020-11-25 13:05:00";2279;890;1389
"2020-11-25 13:10:00";2271;899;1372
"2020-11-25 13:15:00";2269;913;1356
"2020-11-25 13:20:00";2262;922;1340
"2020-11-25 13:25:00";2255;934;1321
"2020-11-25 13:30:00";2241;941;1300
"2020-11-25 13:35:00";2221;946;1275
"2020-11-25 13:40:00";2201;950;1251
"2020-11-25 13:45:00";2180;953;1227
"2020-11-25 13:50:00";2149;950;1199
"2020-11-25 13:55:00";2132;954;1178
"2020-11-25 14:00:00";2113;957;1156
"2020-11-25 14:05:00";2096;960;1136
"2020-11-25 14:10:00";2070;959;1111
"2020-11-25 14:15:00";2054;962;1092
"2020-11-25 14:20:00";2039;964;1075
"2020-11-25 14:25:00";2025;964;1061
"2020-11-25 14:30:00";2019;966;1053
"2020-11-25 14:35:00";2014;966;1048
"2020-11-25 14:40:00";2016;967;1049
"2020-11-25 14:45:00";2014;966;1048
"2020-11-25 14:50:00";2011;964;1047
"2020-11-25 14:55:00";2001;959;1042
"2020-11-25 15:00:00";1989;954;1035
"2020-11-25 15:05:00";1968;945;1023
"2020-11-25 15:10:00";1945;933;1012
"2020-11-25 15:15:00";1914;918;996
"2020-11-25 15:20:00";1878;902;976
"2020-11-25 15:25:00";1835;881;954
"2020-11-25 15:30:00";1784;857;927
"2020-11-25 15:35:00";1728;831;897
"2020-11-25 15:40:00";1665;801;864
"2020-11-25 15:45:00";1601;770;831
"2020-11-25 15:50:00";1207;578;629
"2020-11-25 15:55:00";262;110;152
"2020-11-25 16:00:00";199;82;117
"2020-11-25 16:05:00";176;69;107
"2020-11-25 16:10:00";160;61;99
"2020-11-25 16:15:00";135;47;88
"2020-11-25 16:20:00";117;40;77
"2020-11-25 16:25:00";99;33;66
"2020-11-25 16:30:00";83;27;56
"2020-11-25 16:35:00";69;21;48