"DateTime";"DC Kopplung String 1";"wr1 String 1";"wr1 String 2";"Summe"
"2020-11-25 07:35:00";6;;;6
"2020-11-25 07:40:00";6;;;6
"2020-11-25 08:01:00";39;24;29;92
"2020-11-25 08:06:00";31;28;32;91
"2020-11-25 08:50:00";87;56;76;219
"2020-11-25 08:55:00";90;59;80;229
"2020-11-25 09:00:00";82;61;84;227
"2020-11-25 09:05:00";89;63;87;239
"2020-11-25 09:10:00";113;66;90;269
"2020-11-25 09:15:00";120;68;93;281
"2020-11-25 09:20:00";117;71;97;285
"2020-11-25 09:25:00";127;73;98;298
"2020-11-25 09:30:00";126;75;101;302
"2020-11-25 09:35:00";134;76;103;313
"2020-11-25 09:40:00";133;78;105;316
"2020-11-25 09:45:00";142;79;108;329
"2020-11-25 09:50:00";140;81;110;331
"2020-11-25 09:55:00";150;83;112;345
"2020-11-25 10:00:00";148;86;120;354
"2020-11-25 10:05:00";159;90;123;372
"2020-11-25 10:10:00";161;91;124;376
"2020-11-25 10:15:00";166;92;125;383
"2020-11-25 10:20:00";318;93;126;537
"2020-11-25 10:25:00";609;94;129;832
"2020-11-25 10:30:00";643;160;128;931
"2020-11-25 10:35:00";599;758;114;1471
"2020-11-25 10:40:00";588;933;114;1635
"2020-11-25 10:45:00";639;1039;115;1793
"2020-11-25 10:50:00";642;1116;115;1873
"2020-11-25 10:55:00";279;1216;116;1611
"2020-11-25 11:00:00";600;1335;118;2053
"2020-11-25 11:05:00";632;1349;117;2098
"2020-11-25 11:10:00";628;1463;118;2209
"2020-11-25 11:15:00";623;1471;119;2213
"2020-11-25 11:20:00";618;1451;120;2189
"2020-11-25 11:25:00";615;1433;123;2171
"2020-11-25 11:30:00";613;1410;131;2154
"2020-11-25 11:35:00";621;1385;150;2156
"2020-11-25 11:40:00";633;1358;175;2166
"2020-11-25 11:45:00";640;1330;192;2162
"2020-11-25 11:50:00";651;1303;212;2166
"2020-11-25 11:55:00";665;1273;235;2173
"2020-11-25 12:00:00";679;1244;258;2181
"2020-11-25 12:05:00";694;1211;282;2187
"2020-11-25 12:10:00";711;1179;308;2198
"2020-11-25 12:15:00";729;1145;337;2211
"2020-11-25 12:20:00";745;1108;366;2219
"2020-11-25 12:25:00";762;1072;396;2230
"2020-11-25 12:30:00";779;1036;425;2240
"2020-11-25 12:35:00";797;997;455;2249
"2020-11-25 12:40:00";814;958;486;2258
"2020-11-25 12:45:00";829;919;517;2265
"2020-11-25 12:50:00";845;879;548;2272
"2020-11-25 12:55:00";862;838;579;2279
"2020-11-25 13:00:00";876;795;609;2280
"2020-11-25 13:05:00";890;753;636;2279
"2020-11-25 13:10:00";899;710;662;2271
"2020-11-25 13:15:00";913;667;689;2269
"2020-11-25 13:20:00";922;624;716;2262
"2020-11-25 13:25:00";934;580;741;2255
"2020-11-25 13:30:00";941;536;764;2241
"2020-11-25 13:35:00";946;491;784;2221
"2020-11-25 13:40:00";950;446;805;2201
"2020-11-25 13:45:00";953;403;824;2180
"2020-11-25 13:50:00";950;360;839;2149
"2020-11-25 13:55:00";954;321;857;2132
"2020-11-25 14:00:00";957;282;874;2113
"2020-11-25 14:05:00";960;244;892;2096
"2020-11-25 14:10:00";959;207;904;2070
"2020-11-25 14:15:00";962;176;916;2054
"2020-11-25 14:20:00";964;149;926;2039
"2020-11-25 14:25:00";964;128;933;2025
"2020-11-25 14:30:00";966;115;938;2019
"2020-11-25 14:35:00";966;108;940;2014
"2020-11-25 14:40:00";967;106;943;2016
"2020-11-25 14:45:00";966;106;942;2014
"2020-11-25 14:50:00";964;105;942;2011
"2020-11-25 14:55:00";959;104;938;2001
"2020-11-25 15:00:00";954;102;933;1989
"2020-11-25 15:05:00";945;100;923;1968
"2020-11-25 15:10:00";933;99;913;1945
"2020-11-25 15:15:00";918;96;900;1914
"2020-11-25 15:20:00";902;94;882;1878
"2020-11-25 15:25:00";881;91;863;1835
"2020-11-25 15:30:00";857;87;840;1784
"2020-11-25 15:35:00";831;83;814;1728
"2020-11-25 15:40:00";801;79;785;1665
"2020-11-25 15:45:00";770;74;757;1601
"2020-11-25 15:50:00";578;61;568;1207
"2020-11-25 15:55:00";110;36;116;262
"2020-11-25 16:00:00";82;31;86;199
"2020-11-25 16:05:00";69;27;80;176
"2020-11-25 16:10:00";61;24;75;160
"2020-11-25 16:15:00";47;20;68;135
"2020-11-25 16:20:00";40;16;61;117
"2020-11-25 16:25:00";33;10;56;99
"2020-11-25 16:30:00";27;3;53;83
"2020-11-25 16:35:00";21;0;48;69